功能,信号,方向,GPIO/Group,固定/可映射,状态,备注
Camera,HREF,IN,GPIO30 / JPEG_HSYNC,Camera fixed group,FROZEN,OV5640 HREF接BK camera sync input
Camera,VSYNC,IN,GPIO31 / JPEG_VSYNC,Camera fixed group,FROZEN,OV5640
Camera,D0,IN,GPIO32 / JPEG_PXDATA0,Camera fixed group,FROZEN,OV5640
Camera,D1,IN,GPIO33 / JPEG_PXDATA1,Camera fixed group,FROZEN,OV5640
Camera,D2,IN,GPIO34 / JPEG_PXDATA2,Camera fixed group,FROZEN,OV5640
Camera,D3,IN,GPIO35 / JPEG_PXDATA3,Camera fixed group,FROZEN,OV5640
Camera,D4,IN,GPIO36 / JPEG_PXDATA4,Camera fixed group,FROZEN,OV5640
Camera,D5,IN,GPIO37 / JPEG_PXDATA5,Camera fixed group,FROZEN,OV5640
Camera,D6,IN,GPIO38 / JPEG_PXDATA6,Camera fixed group,FROZEN,OV5640
Camera,D7,IN,GPIO39 / JPEG_PXDATA7,Camera fixed group,FROZEN,OV5640
Reserve,I2S1_CLK_SPARE,I/O,GPIO40 / I2S Group1 CLK,Fixed Group,FREE,整组I2S1暂保留
Reserve,I2S1_SYNC_SPARE,I/O,GPIO41 / I2S Group1 SYNC,Fixed Group,FREE,整组I2S1暂保留
Reserve,I2S1_DIN_SPARE,IN,GPIO42 / I2S Group1 DIN,Fixed Group,FREE,整组I2S1暂保留
Reserve,I2S1_DOUT_SPARE,OUT,GPIO43 / I2S Group1 DOUT,Fixed Group,FREE,整组I2S1暂保留
Audio,AMP_BCLK,OUT,GPIO44 / I2S Group2 CLK,Fixed Group,FROZEN,MAX98357A
Audio,AMP_LRCLK,OUT,GPIO45 / I2S Group2 SYNC,Fixed Group,FROZEN,MAX98357A
Reserve,I2S2_DIN_SPARE,IN,GPIO46 / I2S Group2 DIN,Fixed Group,FREE,当前不用
Audio,AMP_DOUT,OUT,GPIO47 / I2S Group2 DOUT,Fixed Group,FROZEN,MAX98357A DIN
Reserve,SPARE13,I/O,GPIO48,GPIO,FREE,保留
Reserve,SPARE14,I/O,GPIO49,GPIO,FREE,保留
Reserve,SPARE15,I/O,GPIO50,GPIO,FREE,保留
Reserve,SPARE16,I/O,GPIO51,GPIO,FREE,保留
Reserve,SPARE17,I/O,GPIO52,GPIO,FREE,保留
Reserve,SPARE18,I/O,GPIO53,GPIO,FREE,保留
Reserve,SPARE19,I/O,GPIO54,GPIO,FREE,保留
Reserve,SPARE20,I/O,GPIO55,GPIO,FREE,保留
Debug,RESET/BOOT,IN,Dedicated/TBD package pins,Beken HW Ref,PENDING_PIN,正式QFN88原理图前按Hardware Reference Design核对
RF,ANT,RF,Dedicated RF path,RF dedicated,PENDING_PIN,按Beken QFN88参考设计完成matching/antenna
Power,TP_3V3,POWER,SYS_3V3,Test Point,FROZEN,Mandatory
Power,TP_GND,POWER,GND,Test Point,FROZEN,Mandatory
