Reference,Board,Owner_Core,Functional_Block,Purpose,Local_Nets,Placement_Class,Current_Status,Notes
J_BONE_B,B,U6_MAX98357A,AUDIO_OUT,Remote bone-conduction endpoint,SPK_P;SPK_N,ENDPOINT,CONFIRMED,SPK differential pair enters Board B only through J_INTER_B
U7,A,U7_ICS43434,MIC,I2S microphone,SYS_3V3;AUDIO_BCLK;AUDIO_WS;MIC_DIN,CORE,CONFIRMED,Board A sensing
C20,A,U7_ICS43434,MIC,Microphone supply bypass,SYS_3V3;GND,LOCAL_SUPPORT,CONFIRMED,Place next to U7
R14,A,U7_ICS43434,MIC,Microphone SD/data pull-down,MIC_DIN;GND,LOCAL_SUPPORT,CONFIRMED,Keep with U7
U8,A,U8_BMI270,IMU,6-axis IMU,SYS_3V3;SENSOR_I2C_SDA;SENSOR_I2C_SCL;BMI_INT1,CORE,CONFIRMED,Board A sensing
C21,A,U8_BMI270,IMU,BMI270 VDD bypass,SYS_3V3;GND,LOCAL_SUPPORT,CONFIRMED,Place next to U8
C22,A,U8_BMI270,IMU,BMI270 VDDIO bypass,SYS_3V3;GND,LOCAL_SUPPORT,CONFIRMED,Place next to U8
R15,A,SENSOR_I2C_BUS,SENSOR_BUS,Sensor I2C SDA pull-up,SYS_3V3;SENSOR_I2C_SDA,BUS_SUPPORT,CONFIRMED,Shared by U8 and U10 upstream
R16,A,SENSOR_I2C_BUS,SENSOR_BUS,Sensor I2C SCL pull-up,SYS_3V3;SENSOR_I2C_SCL,BUS_SUPPORT,CONFIRMED,Shared by U8 and U10 upstream
U10,A,U10_PCA9540B,HAPTIC_MUX,2-channel I2C MUX,SENSOR_I2C;HAPTIC_A;HAPTIC_B,CORE,CONFIRMED,Board A; CH1 exits through J_INTER_A
C28,A,U10_PCA9540B,HAPTIC_MUX,PCA9540B supply bypass,SYS_3V3;GND,LOCAL_SUPPORT,CONFIRMED,Place next to U10
R17,A,U10_CH0_U9,HAPTIC_A,Haptic A SDA pull-up,SYS_3V3;HAPTIC_A_SDA,BUS_SUPPORT,CONFIRMED,Board A CH0 local
R18,A,U10_CH0_U9,HAPTIC_A,Haptic A SCL pull-up,SYS_3V3;HAPTIC_A_SCL,BUS_SUPPORT,CONFIRMED,Board A CH0 local
U9,A,U9_DRV2605L_A,HAPTIC_A,Local LRA driver,SYS_3V3;HAPTIC_A_SDA;HAPTIC_A_SCL;HAPTIC_A_TRIG;LRA_A_P;LRA_A_N,CORE,CONFIRMED,Board A local haptic
C23,A,U9_DRV2605L_A,HAPTIC_A,DRV A VDD bypass,SYS_3V3;GND,LOCAL_SUPPORT,CONFIRMED,Place next to U9 VDD
C24,A,U9_DRV2605L_A,HAPTIC_A,DRV A REG bypass,DRV_A_REG;GND,LOCAL_SUPPORT,CONFIRMED,Place next to U9 REG
J_LRA_A,A,U9_DRV2605L_A,HAPTIC_A,Local LRA endpoint,LRA_A_P;LRA_A_N,ENDPOINT,CONFIRMED,Board A
J_INTER_A,A,INTER_TEMPLE_HARNESS,INTERCONNECT,Board A 12-pin FPC connector,BAT_1S;GND;SYS_3V3;HAPTIC_B_SCL;HAPTIC_B_SDA;HAPTIC_B_TRIG;SPK_P;SPK_N;BAT_NTC,CONNECTOR,CONFIRMED,Terminates Board A electrical design unit
J_INTER_B,B,INTER_TEMPLE_HARNESS,INTERCONNECT,Board B 12-pin FPC connector,BAT_1S;GND;SYS_3V3;HAPTIC_B_SCL;HAPTIC_B_SDA;HAPTIC_B_TRIG;SPK_P;SPK_N;BAT_NTC,CONNECTOR,CONFIRMED,Terminates Board B electrical design unit
J_BAT,B,BATTERY_PACK,BATTERY,Remote 1S LiPo connector with NTC,BAT_1S;BAT_NTC;GND,CONNECTOR,CONFIRMED,Board B weight-balancing element
U11,B,U11_DRV2605L_B,HAPTIC_B,Remote LRA driver,SYS_3V3;HAPTIC_B_SDA;HAPTIC_B_SCL;HAPTIC_B_TRIG;LRA_B_P;LRA_B_N,CORE,CONFIRMED,Board B local haptic
C29,B,U11_DRV2605L_B,HAPTIC_B,DRV B VDD bypass,SYS_3V3;GND,LOCAL_SUPPORT,CONFIRMED_COMMENT_FIX_REQUIRED,Final BOM comment currently swapped with C30; actual net proves C29 is VDD bypass
C30,B,U11_DRV2605L_B,HAPTIC_B,DRV B REG bypass,DRV_B_REG;GND,LOCAL_SUPPORT,CONFIRMED_COMMENT_FIX_REQUIRED,Final BOM comment currently swapped with C29; actual net proves C30 is REG bypass
R19,B,U10_CH1_U11,HAPTIC_B,Haptic B SDA pull-up,SYS_3V3;HAPTIC_B_SDA,BUS_SUPPORT,CONFIRMED,Place on Board B near U11/FPC CH1 segment
R20,B,U10_CH1_U11,HAPTIC_B,Haptic B SCL pull-up,SYS_3V3;HAPTIC_B_SCL,BUS_SUPPORT,CONFIRMED,Place on Board B near U11/FPC CH1 segment
C31,B,BOARD_B_POWER,BOARD_B_POWER,Remote 3V3 bulk,SYS_3V3;GND,LOCAL_SUPPORT,CONFIRMED,Place near J_INTER_B/U11 power entry
C32,B,BOARD_B_POWER,BOARD_B_POWER,Remote 3V3 HF bypass,SYS_3V3;GND,LOCAL_SUPPORT,MISSING_IN_FINAL_LIVE,Present in ProjectSpec/target table but absent from final Live BOM/Netlist; must resolve before PCB
J_LRA_B,B,U11_DRV2605L_B,HAPTIC_B,Remote LRA endpoint,LRA_B_P;LRA_B_N,ENDPOINT,CONFIRMED,Board B
TP_3V3_B,B,BOARD_B_POWER,DEBUG_POWER,Board B 3V3 test point,SYS_3V3,TEST_POINT,CONFIRMED,Mandatory for remote-board bring-up
TP_GND_B,B,BOARD_B_POWER,DEBUG_POWER,Board B GND test point,GND,TEST_POINT,CONFIRMED,Mandatory for remote-board bring-up
